a0_min         a1_min         a2_min         a3_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   Y6_intercept   Y7_intercept   Y8_intercept   LogPost        LogPrior       LogHyper       LogLkh         Deviance       
   0.100859E+03   0.443210E+01   0.760566E+01   0.947890E+01   0.124187E-03   0.789775E-03   0.239765E-03   0.182266E-02   0.862954E-03   0.440606E-03   0.517450E-03   0.505154E-03   0.184674E+03   0.000000E+00   0.000000E+00   0.184674E+03  -0.369348E+03
   0.100859E+03   0.348371E+00   0.627579E+01  -0.229575E+01   0.124187E-03   0.164941E-03   0.145882E-03   0.182266E-02   0.430787E-03   0.440606E-03   0.976047E-03   0.505154E-03   0.183707E+03   0.000000E+00   0.000000E+00   0.183707E+03  -0.367414E+03
   0.100859E+03   0.348371E+00   0.236008E+01  -0.772928E+01   0.124187E-03   0.164941E-03   0.145882E-03   0.182266E-02   0.430787E-03   0.322669E-03   0.607941E-03   0.505154E-03   0.184040E+03   0.000000E+00   0.000000E+00   0.184040E+03  -0.368080E+03
   0.100859E+03   0.348371E+00   0.236008E+01  -0.772928E+01   0.124187E-03   0.164941E-03   0.145882E-03   0.182266E-02   0.540944E-03   0.322669E-03   0.607941E-03   0.626632E-03   0.183782E+03   0.000000E+00   0.000000E+00   0.183782E+03  -0.367564E+03
   0.100859E+03   0.348371E+00   0.236008E+01  -0.772928E+01   0.124187E-03   0.164941E-03   0.303326E-03   0.182266E-02   0.105892E-02   0.414386E-03   0.339578E-04   0.626632E-03   0.183263E+03   0.000000E+00   0.000000E+00   0.183263E+03  -0.366526E+03
   0.100859E+03   0.348371E+00  -0.318357E+01  -0.772928E+01   0.235799E-04   0.164941E-03   0.303326E-03   0.182266E-02   0.105892E-02   0.414386E-03   0.339578E-04   0.626632E-03   0.182589E+03   0.000000E+00   0.000000E+00   0.182589E+03  -0.365178E+03
   0.994317E+02   0.204446E+01   0.215706E+01   0.197839E+01   0.235799E-04   0.164941E-03   0.870150E-03   0.182266E-02   0.105892E-02   0.414386E-03   0.339578E-04   0.626632E-03   0.184303E+03   0.000000E+00   0.000000E+00   0.184303E+03  -0.368606E+03
   0.994317E+02   0.204446E+01  -0.520958E+01  -0.200524E+01   0.235799E-04   0.164941E-03   0.870150E-03   0.182266E-02   0.105892E-02   0.414386E-03   0.339578E-04   0.797942E-03   0.182877E+03   0.000000E+00   0.000000E+00   0.182877E+03  -0.365754E+03
   0.994317E+02   0.204446E+01   0.136522E+01   0.270792E+01   0.235799E-04   0.164941E-03   0.870150E-03   0.182266E-02   0.105892E-02   0.414386E-03   0.339578E-04   0.797942E-03   0.183962E+03   0.000000E+00   0.000000E+00   0.183962E+03  -0.367924E+03
   0.994317E+02   0.204446E+01   0.405924E+01   0.270792E+01   0.235799E-04   0.164941E-03   0.824962E-03   0.182266E-02   0.105892E-02   0.414386E-03   0.339578E-04   0.797942E-03   0.183838E+03   0.000000E+00   0.000000E+00   0.183838E+03  -0.367676E+03
