a0_min         a1_min         Y1_intercept   Y2_intercept   Y3_intercept   LogPost        LogPrior       LogHyper       LogLkh         Deviance       
   0.100013E+03   0.424762E+01   0.710100E-03   0.110123E+02   0.107452E+02   0.183339E+03  -0.272939E+01   0.000000E+00   0.186068E+03  -0.372137E+03
   0.100013E+03   0.424762E+01   0.710100E-03   0.120310E+02   0.990804E+01   0.182341E+03  -0.372724E+01   0.000000E+00   0.186068E+03  -0.372136E+03
   0.100187E+03   0.572220E+01   0.710100E-03   0.112781E+02   0.990804E+01   0.182831E+03  -0.267652E+01   0.000000E+00   0.185508E+03  -0.371015E+03
   0.100003E+03   0.572220E+01   0.302032E-03   0.869508E+01   0.982678E+01   0.182619E+03  -0.267343E+01   0.000000E+00   0.185292E+03  -0.370585E+03
   0.100003E+03   0.572220E+01   0.302032E-03   0.846268E+01   0.913361E+01   0.181908E+03  -0.338407E+01   0.000000E+00   0.185292E+03  -0.370584E+03
   0.100003E+03   0.572220E+01   0.302032E-03   0.846268E+01   0.108681E+02   0.181798E+03  -0.349381E+01   0.000000E+00   0.185292E+03  -0.370584E+03
   0.100003E+03   0.572220E+01   0.578327E-03   0.860168E+01   0.108681E+02   0.183299E+03  -0.325143E+01   0.000000E+00   0.186550E+03  -0.373101E+03
   0.100003E+03   0.736311E+01   0.465262E-03   0.877129E+01   0.874119E+01   0.181736E+03  -0.333664E+01   0.000000E+00   0.185073E+03  -0.370145E+03
   0.100003E+03   0.736311E+01   0.465262E-03   0.879687E+01   0.874119E+01   0.181771E+03  -0.330180E+01   0.000000E+00   0.185073E+03  -0.370146E+03
   0.100003E+03   0.736311E+01   0.465262E-03   0.860042E+01   0.991065E+01   0.182254E+03  -0.281879E+01   0.000000E+00   0.185073E+03  -0.370146E+03
   0.100003E+03   0.772316E+00   0.465262E-03   0.966747E+01   0.989580E+01   0.186108E+03  -0.185625E+01   0.000000E+00   0.187964E+03  -0.375929E+03
   0.100003E+03   0.772316E+00   0.603085E-03   0.111437E+02   0.111270E+02   0.184059E+03  -0.320949E+01   0.000000E+00   0.187268E+03  -0.374537E+03
   0.100003E+03   0.772316E+00   0.603085E-03   0.116738E+02   0.111270E+02   0.183401E+03  -0.386719E+01   0.000000E+00   0.187268E+03  -0.374536E+03
   0.100003E+03   0.119492E+01   0.603085E-03   0.992631E+01   0.111839E+02   0.184793E+03  -0.257108E+01   0.000000E+00   0.187364E+03  -0.374728E+03
   0.994442E+02   0.576986E+01   0.603085E-03   0.992631E+01   0.111839E+02   0.183395E+03  -0.257108E+01   0.000000E+00   0.185966E+03  -0.371932E+03
   0.994442E+02   0.576986E+01   0.603085E-03   0.103065E+02   0.916633E+01   0.183761E+03  -0.220546E+01   0.000000E+00   0.185966E+03  -0.371933E+03
   0.994442E+02  -0.988461E-01   0.603085E-03   0.103065E+02   0.916633E+01   0.184289E+03  -0.220546E+01   0.000000E+00   0.186494E+03  -0.372989E+03
   0.994442E+02  -0.988461E-01   0.546662E-03   0.110654E+02   0.916633E+01   0.184127E+03  -0.274339E+01   0.000000E+00   0.186870E+03  -0.373741E+03
   0.994442E+02  -0.988461E-01   0.745379E-03   0.106001E+02   0.916633E+01   0.182660E+03  -0.235779E+01   0.000000E+00   0.185018E+03  -0.370036E+03
   0.994442E+02   0.519423E+01   0.549933E-03   0.962528E+01   0.100160E+02   0.184716E+03  -0.187434E+01   0.000000E+00   0.186590E+03  -0.373181E+03
   0.994442E+02   0.519423E+01   0.383641E-03   0.995073E+01   0.979330E+01   0.184521E+03  -0.183508E+01   0.000000E+00   0.186356E+03  -0.372712E+03
