a0_min        a1_min        Y1_intercept  Y2_intercept  Y3_intercept  Y4_intercept  Y5_intercept  LogPost       
  0.101153E+03 -0.213758E+00  0.363293E-03  0.832226E+01  0.187299E+02  0.216156E+02  0.133531E+02  0.312455E+02
  0.101153E+03  0.825068E+01  0.363293E-03  0.833516E+01  0.182905E+02  0.193855E+02  0.105142E+02  0.306265E+02
  0.988993E+02 -0.655359E+00  0.363293E-03  0.853124E+01  0.177170E+02  0.177501E+02  0.999337E+01  0.330702E+02
  0.988993E+02  0.594387E+01  0.363293E-03  0.820682E+01  0.181308E+02  0.178805E+02  0.999337E+01  0.327223E+02
  0.980201E+02  0.570408E+01  0.591798E-04  0.820682E+01  0.179046E+02  0.180494E+02  0.112971E+02  0.339578E+02
  0.980201E+02  0.570408E+01  0.591798E-04  0.751500E+01  0.206664E+02  0.171316E+02  0.115167E+02  0.313964E+02
  0.980201E+02 -0.460512E+00  0.591798E-04  0.652658E+01  0.199361E+02  0.172969E+02  0.125455E+02  0.308333E+02
  0.980201E+02 -0.460512E+00  0.591798E-04  0.652658E+01  0.192152E+02  0.152460E+02  0.125455E+02  0.318651E+02
  0.980201E+02 -0.460512E+00  0.591798E-04  0.652658E+01  0.179388E+02  0.151056E+02  0.122624E+02  0.329234E+02
  0.980201E+02 -0.460512E+00  0.591798E-04  0.754234E+01  0.176841E+02  0.144407E+02  0.148671E+02  0.346224E+02
  0.980201E+02  0.168521E+01  0.591798E-04  0.915922E+01  0.166403E+02  0.127422E+02  0.166161E+02  0.361929E+02
  0.980201E+02 -0.215668E+01  0.781347E-03  0.954935E+01  0.166403E+02  0.133786E+02  0.135255E+02  0.342320E+02
  0.100281E+03  0.152146E+01  0.127788E-02  0.961211E+01  0.168928E+02  0.118900E+02  0.135255E+02  0.323089E+02
  0.101348E+03 -0.201404E+00  0.127788E-02  0.976035E+01  0.173657E+02  0.164091E+02  0.135255E+02  0.317230E+02
