a0_min         Y1_intercept   Y2_intercept   Y3_intercept   LogPost        
   0.991339E+02   0.270096E-03   0.108932E+02   0.100935E+02   0.183081E+03
   0.991339E+02   0.649036E-03   0.108932E+02   0.100935E+02   0.183304E+03
   0.991339E+02   0.649036E-03   0.108932E+02   0.101475E+02   0.183293E+03
   0.100847E+03   0.675758E-03   0.122104E+02   0.101475E+02   0.181884E+03
   0.100758E+03   0.261616E-03   0.111607E+02   0.101475E+02   0.182484E+03
   0.100758E+03   0.561694E-03   0.111607E+02   0.101475E+02   0.184310E+03
   0.993259E+02   0.561694E-03   0.111607E+02   0.105667E+02   0.183890E+03
   0.993259E+02   0.520182E-03   0.102271E+02   0.110222E+02   0.184397E+03
   0.101027E+03   0.520182E-03   0.106314E+02   0.995492E+01   0.184448E+03
   0.101027E+03   0.520182E-03   0.106314E+02   0.926702E+01   0.184231E+03
   0.101027E+03   0.520182E-03   0.106314E+02   0.987142E+01   0.184449E+03
   0.101027E+03   0.520182E-03   0.106314E+02   0.103126E+02   0.184367E+03
   0.101027E+03   0.520182E-03   0.106314E+02   0.112570E+02   0.183625E+03
   0.101027E+03   0.554783E-03   0.106314E+02   0.130189E+02   0.180632E+03
   0.101027E+03   0.554783E-03   0.115785E+02   0.130189E+02   0.179660E+03
   0.101027E+03   0.554783E-03   0.997134E+01   0.130189E+02   0.180883E+03
   0.101027E+03   0.554783E-03   0.890949E+01   0.130189E+02   0.180329E+03
   0.101027E+03   0.554783E-03   0.890949E+01   0.130189E+02   0.180329E+03
   0.101027E+03   0.554783E-03   0.113376E+02   0.111098E+02   0.183051E+03
   0.101027E+03   0.554783E-03   0.125897E+02   0.106998E+02   0.181446E+03
   0.100304E+03   0.554783E-03   0.996730E+01   0.106998E+02   0.185200E+03
   0.100304E+03   0.554783E-03   0.996730E+01   0.976290E+01   0.185492E+03
   0.100304E+03   0.554783E-03   0.996730E+01   0.100206E+02   0.185494E+03
   0.100304E+03   0.554783E-03   0.100587E+02   0.114428E+02   0.184443E+03
   0.100304E+03   0.709113E-03   0.100587E+02   0.869429E+01   0.183271E+03
   0.100304E+03   0.717284E-03   0.100587E+02   0.869429E+01   0.183174E+03
   0.100304E+03   0.717284E-03   0.981495E+01   0.869429E+01   0.183183E+03
   0.100304E+03   0.717284E-03   0.981495E+01   0.869429E+01   0.183183E+03
   0.100304E+03   0.717284E-03   0.106844E+02   0.943875E+01   0.183627E+03
   0.100304E+03   0.717284E-03   0.993315E+01   0.106763E+02   0.183746E+03
   0.992066E+02   0.717284E-03   0.993315E+01   0.106763E+02   0.182937E+03
