a0_min         a1_min         a2_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   LogPost        LogPrior       LogHyper       LogLkh         Deviance       
   0.977552E+02   0.797385E+00  -0.478585E+01   0.741192E-03   0.960797E+01   0.130418E+02   0.118310E+02   0.864359E+01   0.170660E+03  -0.121002E+02   0.000000E+00   0.182760E+03  -0.365520E+03
   0.977552E+02   0.797385E+00  -0.478585E+01   0.741192E-03   0.960797E+01   0.119716E+02   0.118310E+02   0.864359E+01   0.171222E+03  -0.115377E+02   0.000000E+00   0.182760E+03  -0.365519E+03
   0.977552E+02   0.753643E+00  -0.478585E+01   0.741192E-03   0.845991E+01   0.897221E+01   0.102309E+02   0.179305E+02   0.173255E+03  -0.950427E+01   0.000000E+00   0.182759E+03  -0.365519E+03
   0.977552E+02  -0.208925E+01  -0.478585E+01   0.546313E-03   0.765674E+01   0.897221E+01   0.115864E+02   0.179305E+02   0.173260E+03  -0.907371E+01   0.000000E+00   0.182334E+03  -0.364667E+03
   0.977552E+02  -0.119104E+01  -0.718994E+01   0.546313E-03   0.995745E+01   0.869409E+01   0.141346E+02   0.179305E+02   0.174256E+03  -0.792133E+01   0.000000E+00   0.182177E+03  -0.364355E+03
   0.977552E+02  -0.119104E+01  -0.211733E+01   0.546313E-03   0.889704E+01   0.108520E+02   0.175630E+02   0.175061E+02   0.174765E+03  -0.840012E+01   0.000000E+00   0.183165E+03  -0.366330E+03
   0.977552E+02   0.347158E+01  -0.211733E+01   0.546313E-03   0.889704E+01   0.102379E+02   0.156548E+02   0.206069E+02   0.173779E+03  -0.898735E+01   0.000000E+00   0.182766E+03  -0.365533E+03
   0.972349E+02  -0.222556E+01  -0.211733E+01   0.546313E-03   0.889704E+01   0.931210E+01   0.156548E+02   0.190346E+02   0.174089E+03  -0.831840E+01   0.000000E+00   0.182407E+03  -0.364815E+03
   0.972349E+02  -0.222556E+01  -0.211733E+01   0.546313E-03   0.889704E+01   0.931210E+01   0.156548E+02   0.173342E+02   0.174630E+03  -0.777701E+01   0.000000E+00   0.182407E+03  -0.364814E+03
   0.972349E+02   0.111546E+01  -0.842705E+01   0.546313E-03   0.889704E+01   0.119766E+02   0.145054E+02   0.173342E+02   0.174047E+03  -0.828680E+01   0.000000E+00   0.182334E+03  -0.364668E+03
   0.974498E+02   0.111546E+01  -0.842705E+01   0.546313E-03   0.109640E+02   0.147841E+02   0.145054E+02   0.197957E+02   0.171326E+03  -0.109788E+02   0.000000E+00   0.182305E+03  -0.364610E+03
   0.974498E+02   0.111546E+01  -0.842705E+01   0.546313E-03   0.109640E+02   0.148855E+02   0.145054E+02   0.197957E+02   0.171252E+03  -0.110530E+02   0.000000E+00   0.182305E+03  -0.364610E+03
   0.975438E+02   0.111546E+01  -0.515475E+01   0.546313E-03   0.109640E+02   0.124518E+02   0.145054E+02   0.197957E+02   0.173651E+03  -0.949743E+01   0.000000E+00   0.183148E+03  -0.366297E+03
   0.975438E+02   0.175275E+01  -0.686053E+00   0.440261E-03   0.109640E+02   0.114181E+02   0.174335E+02   0.116186E+02   0.174001E+03  -0.880271E+01   0.000000E+00   0.182804E+03  -0.365607E+03
   0.975438E+02   0.467863E+01  -0.147839E+01   0.440261E-03   0.104714E+02   0.623455E+01   0.174335E+02   0.175205E+02   0.170385E+03  -0.105396E+02   0.000000E+00   0.180925E+03  -0.361849E+03
   0.975438E+02   0.467863E+01   0.182072E+01   0.440261E-03   0.746249E+01   0.623455E+01   0.174335E+02   0.187483E+02   0.169429E+03  -0.116333E+02   0.000000E+00   0.181062E+03  -0.362125E+03
   0.975438E+02   0.467863E+01   0.182072E+01   0.440261E-03   0.746249E+01   0.112987E+02   0.100733E+02   0.171649E+02   0.170771E+03  -0.102914E+02   0.000000E+00   0.181062E+03  -0.362125E+03
   0.975438E+02   0.467863E+01   0.542367E+01   0.440261E-03   0.746249E+01   0.119612E+02   0.100733E+02   0.220220E+02   0.167980E+03  -0.124280E+02   0.000000E+00   0.180408E+03  -0.360816E+03
   0.975438E+02   0.467863E+01   0.542367E+01   0.485108E-03   0.111090E+02   0.969168E+01   0.942044E+01   0.136808E+02   0.171265E+03  -0.973712E+01   0.000000E+00   0.181002E+03  -0.362004E+03
   0.975438E+02   0.873706E+00   0.342352E+01   0.485108E-03   0.117732E+02   0.104523E+02   0.942044E+01   0.136808E+02   0.172924E+03  -0.100778E+02   0.000000E+00   0.183002E+03  -0.366004E+03
   0.975438E+02   0.115768E+01   0.342352E+01   0.485108E-03   0.117732E+02   0.104523E+02   0.942044E+01   0.136808E+02   0.172916E+03  -0.100778E+02   0.000000E+00   0.182994E+03  -0.365988E+03
   0.975438E+02   0.115768E+01   0.342352E+01   0.485108E-03   0.117732E+02   0.104523E+02   0.106029E+02   0.132938E+02   0.173950E+03  -0.904334E+01   0.000000E+00   0.182993E+03  -0.365987E+03
   0.975438E+02   0.115768E+01   0.210381E+01   0.485108E-03   0.137636E+02   0.104547E+02   0.162555E+02   0.141466E+02   0.174139E+03  -0.906890E+01   0.000000E+00   0.183208E+03  -0.366416E+03
   0.975438E+02   0.115768E+01   0.210381E+01   0.485108E-03   0.133786E+02   0.104547E+02   0.162555E+02   0.141466E+02   0.174384E+03  -0.882402E+01   0.000000E+00   0.183208E+03  -0.366416E+03
