a0_min        a0_flood      Y1_intercept  Y2_intercept  Y3_intercept  Y4_intercept  Y5_intercept  LogPost       
  0.102772E+03  0.549229E+02  0.305248E-03  0.712763E+01  0.903624E+01  0.300893E-02  0.143305E+02  0.343097E+02
  0.102772E+03  0.549229E+02  0.305248E-03  0.712763E+01  0.903111E+01  0.140541E-02  0.151212E+02  0.355905E+02
  0.102772E+03  0.549229E+02  0.305248E-03  0.847571E+01  0.101664E+02  0.545960E-03  0.151212E+02  0.373369E+02
  0.102772E+03  0.549229E+02  0.305248E-03  0.815894E+01  0.107656E+02  0.545960E-03  0.169170E+02  0.367852E+02
  0.102772E+03  0.549229E+02  0.305248E-03  0.930159E+01  0.921874E+01  0.545960E-03  0.169627E+02  0.372357E+02
  0.102772E+03  0.547864E+02  0.305248E-03  0.998603E+01  0.986474E+01  0.545960E-03  0.162623E+02  0.374804E+02
  0.102767E+03  0.547864E+02  0.305248E-03  0.113815E+02  0.986474E+01  0.545960E-03  0.132738E+02  0.372527E+02
  0.102767E+03  0.547864E+02  0.305248E-03  0.113815E+02  0.971827E+01  0.545960E-03  0.136316E+02  0.373056E+02
  0.102767E+03  0.547864E+02  0.305248E-03  0.113815E+02  0.939130E+01  0.545960E-03  0.154817E+02  0.372753E+02
  0.102767E+03  0.541475E+02  0.429297E-03  0.100870E+02  0.874507E+01  0.545960E-03  0.154817E+02  0.374231E+02
  0.102767E+03  0.541475E+02  0.325119E-03  0.112338E+02  0.935996E+01  0.545960E-03  0.178642E+02  0.369144E+02
  0.102767E+03  0.541475E+02  0.325119E-03  0.112338E+02  0.948816E+01  0.991244E-03  0.157772E+02  0.369817E+02
  0.102767E+03  0.549071E+02  0.325119E-03  0.112338E+02  0.948816E+01  0.991244E-03  0.157772E+02  0.369683E+02
  0.102767E+03  0.549071E+02  0.325119E-03  0.102182E+02  0.948816E+01  0.204863E-02  0.155073E+02  0.362787E+02
  0.102767E+03  0.549071E+02  0.325119E-03  0.946066E+01  0.822291E+01  0.131062E-03  0.184598E+02  0.362651E+02
  0.102767E+03  0.549071E+02  0.325119E-03  0.941236E+01  0.970347E+01  0.157870E-02  0.178279E+02  0.362366E+02
  0.102608E+03  0.549071E+02  0.325119E-03  0.111755E+02  0.107605E+02  0.186045E-02  0.177753E+02  0.361087E+02
  0.102608E+03  0.546588E+02  0.325119E-03  0.101122E+02  0.112521E+02  0.103740E-02  0.177753E+02  0.369871E+02
  0.102608E+03  0.546588E+02  0.325119E-03  0.125935E+02  0.115734E+02  0.159880E-02  0.177753E+02  0.354414E+02
  0.102608E+03  0.546588E+02  0.325119E-03  0.123896E+02  0.116568E+02  0.413039E-03  0.177753E+02  0.365871E+02
  0.102608E+03  0.546588E+02  0.325119E-03  0.125612E+02  0.115238E+02  0.413039E-03  0.192645E+02  0.360483E+02
  0.102608E+03  0.546588E+02  0.325119E-03  0.114030E+02  0.111245E+02  0.413039E-03  0.192645E+02  0.367243E+02
  0.101948E+03  0.546588E+02  0.874807E-03  0.112451E+02  0.949857E+01  0.413039E-03  0.172908E+02  0.347049E+02
  0.101948E+03  0.546588E+02  0.570488E-03  0.100277E+02  0.949857E+01  0.413039E-03  0.145910E+02  0.380124E+02
  0.101948E+03  0.546588E+02  0.310935E-03  0.912557E+01  0.104814E+02  0.626853E-03  0.141047E+02  0.381287E+02
  0.102493E+03  0.546588E+02  0.310935E-03  0.960195E+01  0.106088E+02  0.626853E-03  0.146521E+02  0.382621E+02
  0.102493E+03  0.546588E+02  0.310935E-03  0.103306E+02  0.100757E+02  0.180306E-02  0.162657E+02  0.369901E+02
  0.102493E+03  0.546588E+02  0.310935E-03  0.100458E+02  0.100757E+02  0.958120E-03  0.208955E+02  0.362941E+02
