a0_min         a1_min         a2_min         a3_min         Y1_intercept   Y2_intercept   Y3_intercept   LogPost        LogPrior       LogHyper       LogLkh         Deviance       
   0.102954E+03  -0.655106E+01  -0.376757E+01  -0.162584E+02   0.189663E-03   0.939165E-04   0.212600E-03   0.144929E+03   0.000000E+00   0.000000E+00   0.144929E+03  -0.289858E+03
   0.102954E+03  -0.655106E+01  -0.376757E+01  -0.141077E+02   0.189663E-03   0.939165E-04   0.212600E-03   0.144236E+03   0.000000E+00   0.000000E+00   0.144236E+03  -0.288472E+03
   0.102954E+03   0.158923E+01   0.841099E+01  -0.141077E+02   0.189663E-03   0.939165E-04   0.212600E-03   0.145210E+03   0.000000E+00   0.000000E+00   0.145210E+03  -0.290420E+03
   0.102954E+03  -0.363597E+01  -0.109196E+01  -0.175167E+02   0.189663E-03   0.939165E-04   0.212600E-03   0.147757E+03   0.000000E+00   0.000000E+00   0.147757E+03  -0.295514E+03
   0.102954E+03  -0.363597E+01  -0.109196E+01  -0.194372E+02   0.263938E-03   0.939165E-04   0.570690E-03   0.146523E+03   0.000000E+00   0.000000E+00   0.146523E+03  -0.293046E+03
   0.102954E+03  -0.363597E+01  -0.109196E+01  -0.196979E+02   0.263938E-03   0.939165E-04   0.570690E-03   0.146533E+03   0.000000E+00   0.000000E+00   0.146533E+03  -0.293066E+03
   0.102954E+03  -0.363597E+01   0.386989E+01  -0.196979E+02   0.263938E-03   0.939165E-04   0.570690E-03   0.146337E+03   0.000000E+00   0.000000E+00   0.146337E+03  -0.292674E+03
   0.102954E+03  -0.363597E+01  -0.146951E+01  -0.177161E+02   0.263938E-03   0.939165E-04   0.353206E-03   0.147317E+03   0.000000E+00   0.000000E+00   0.147317E+03  -0.294634E+03
   0.102954E+03  -0.363597E+01  -0.146951E+01  -0.119313E+02   0.263938E-03   0.939165E-04   0.211437E-03   0.146567E+03   0.000000E+00   0.000000E+00   0.146567E+03  -0.293134E+03
   0.102954E+03   0.200679E+01  -0.146951E+01  -0.675622E+00   0.334908E-03   0.939165E-04   0.211437E-03   0.144961E+03   0.000000E+00   0.000000E+00   0.144961E+03  -0.289922E+03
   0.102954E+03   0.107119E+01   0.127981E+02  -0.375275E+01   0.334908E-03   0.939165E-04   0.211437E-03   0.146996E+03   0.000000E+00   0.000000E+00   0.146996E+03  -0.293992E+03
   0.102954E+03   0.107119E+01   0.127981E+02   0.474763E+01   0.334908E-03   0.939165E-04   0.211437E-03   0.147303E+03   0.000000E+00   0.000000E+00   0.147303E+03  -0.294606E+03
   0.102954E+03   0.615932E+01   0.708392E+01   0.474763E+01   0.334908E-03   0.939165E-04   0.211437E-03   0.146896E+03   0.000000E+00   0.000000E+00   0.146896E+03  -0.293792E+03
