a0_min         a1_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   Y6_intercept   Y7_intercept   Y8_intercept   Y9_intercept   LogPost        LogPrior       LogHyper       LogLkh         Deviance       
   0.993731E+02   0.815255E+00   0.464137E-03   0.657321E-03   0.887892E-03   0.327752E-03   0.159832E-02   0.711418E-03   0.411489E-03   0.101534E-02   0.800713E-03   0.206791E+03   0.000000E+00   0.000000E+00   0.206791E+03  -0.413582E+03
   0.993731E+02   0.815255E+00   0.464137E-03   0.657321E-03   0.646714E-03   0.327752E-03   0.138169E-02   0.711418E-03   0.137642E-03   0.101534E-02   0.313686E-03   0.208341E+03   0.000000E+00   0.000000E+00   0.208341E+03  -0.416682E+03
   0.101152E+03   0.564775E+01   0.464137E-03   0.657321E-03   0.646714E-03   0.327752E-03   0.106819E-02   0.711418E-03   0.123818E-02   0.101534E-02   0.103594E-02   0.205423E+03   0.000000E+00   0.000000E+00   0.205423E+03  -0.410846E+03
   0.101152E+03   0.290117E+01   0.464137E-03   0.605157E-03   0.646714E-03   0.327752E-03   0.114004E-02   0.191691E-02   0.123818E-02   0.101534E-02   0.103594E-02   0.204255E+03   0.000000E+00   0.000000E+00   0.204255E+03  -0.408510E+03
   0.101152E+03   0.290117E+01   0.464137E-03   0.605157E-03   0.625674E-03   0.909550E-03   0.114004E-02   0.174681E-02   0.508489E-03   0.180882E-03   0.375356E-03   0.208096E+03   0.000000E+00   0.000000E+00   0.208096E+03  -0.416192E+03
   0.101152E+03   0.726635E+00   0.464137E-03   0.605157E-03   0.625674E-03   0.865676E-03   0.114004E-02   0.174681E-02   0.351647E-03   0.180882E-03   0.375356E-03   0.208437E+03   0.000000E+00   0.000000E+00   0.208437E+03  -0.416874E+03
   0.100637E+03   0.726635E+00   0.464137E-03   0.605157E-03   0.625674E-03   0.865676E-03   0.114004E-02   0.174681E-02   0.351647E-03   0.180882E-03   0.375356E-03   0.209223E+03   0.000000E+00   0.000000E+00   0.209223E+03  -0.418446E+03
   0.100637E+03  -0.631512E+00   0.464137E-03   0.605157E-03   0.625674E-03   0.865676E-03   0.114004E-02   0.174681E-02   0.351647E-03   0.180882E-03   0.375356E-03   0.208900E+03   0.000000E+00   0.000000E+00   0.208900E+03  -0.417800E+03
   0.100637E+03   0.470808E+00   0.464137E-03   0.171228E-02   0.625674E-03   0.865676E-03   0.115246E-02   0.529073E-02   0.351647E-03   0.180882E-03   0.276330E-03   0.202899E+03   0.000000E+00   0.000000E+00   0.202899E+03  -0.405798E+03
   0.100637E+03   0.470808E+00   0.464137E-03   0.154054E-02   0.625674E-03   0.865676E-03   0.115246E-02   0.381266E-02   0.351647E-03   0.180882E-03   0.276330E-03   0.204486E+03   0.000000E+00   0.000000E+00   0.204486E+03  -0.408972E+03
   0.100637E+03  -0.924943E+00   0.464137E-03   0.154054E-02   0.625674E-03   0.865676E-03   0.321855E-03   0.381266E-02   0.351647E-03   0.180882E-03   0.216827E-03   0.205115E+03   0.000000E+00   0.000000E+00   0.205115E+03  -0.410230E+03
   0.100637E+03  -0.924943E+00   0.464137E-03   0.126600E-02   0.625674E-03   0.865676E-03   0.321855E-03   0.381266E-02   0.351647E-03   0.180882E-03   0.216827E-03   0.205685E+03   0.000000E+00   0.000000E+00   0.205685E+03  -0.411370E+03
   0.100637E+03  -0.924943E+00   0.464137E-03   0.126600E-02   0.625674E-03   0.865676E-03   0.321855E-03   0.472659E-02   0.351647E-03   0.180882E-03   0.216827E-03   0.204869E+03   0.000000E+00   0.000000E+00   0.204869E+03  -0.409738E+03
