a0_min         a1_min         a2_min         a3_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   LogPost        LogPrior       LogHyper       LogLkh         Deviance       
   0.101095E+03   0.910957E+01   0.944368E+01   0.671773E+01   0.992670E-03   0.371966E-03   0.228543E-03   0.149921E-02   0.184270E+03   0.000000E+00   0.000000E+00   0.184270E+03  -0.368540E+03
   0.101095E+03   0.910957E+01   0.923563E+01   0.124970E+02   0.992670E-03   0.545311E-03   0.228543E-03   0.149921E-02   0.185093E+03   0.000000E+00   0.000000E+00   0.185093E+03  -0.370186E+03
   0.101095E+03   0.524748E+01   0.923563E+01   0.831216E+01   0.992670E-03   0.545311E-03   0.228543E-03   0.124203E-02   0.187185E+03   0.000000E+00   0.000000E+00   0.187185E+03  -0.374370E+03
   0.101095E+03   0.524748E+01   0.923563E+01   0.831216E+01   0.992670E-03   0.545311E-03   0.228543E-03   0.126250E-02   0.187160E+03   0.000000E+00   0.000000E+00   0.187160E+03  -0.374320E+03
   0.101095E+03   0.111937E+00   0.320954E+01   0.571713E+01   0.992670E-03   0.545311E-03   0.228543E-03   0.156271E-02   0.187491E+03   0.000000E+00   0.000000E+00   0.187491E+03  -0.374982E+03
   0.101095E+03   0.111937E+00   0.628428E+01   0.304415E+01   0.521447E-03   0.545311E-03   0.228543E-03   0.156271E-02   0.188982E+03   0.000000E+00   0.000000E+00   0.188982E+03  -0.377964E+03
   0.101326E+03   0.111937E+00   0.848488E+01   0.314215E+01   0.521447E-03   0.545311E-03   0.228543E-03   0.156271E-02   0.188517E+03   0.000000E+00   0.000000E+00   0.188517E+03  -0.377034E+03
   0.101326E+03   0.111937E+00   0.974046E+01   0.314215E+01   0.123972E-02   0.545311E-03   0.733297E-03   0.156271E-02   0.182111E+03   0.000000E+00   0.000000E+00   0.182111E+03  -0.364222E+03
   0.100583E+03   0.837145E+01   0.527585E+01   0.819978E+01   0.123972E-02   0.545311E-03   0.601506E-03   0.108763E-02   0.183379E+03   0.000000E+00   0.000000E+00   0.183379E+03  -0.366758E+03
   0.100583E+03   0.448872E+01   0.248311E+01   0.136916E+02   0.906415E-03   0.545311E-03   0.687496E-03   0.108763E-02   0.185061E+03   0.000000E+00   0.000000E+00   0.185061E+03  -0.370122E+03
   0.100583E+03   0.448872E+01   0.311699E+00   0.136916E+02   0.906415E-03   0.545311E-03   0.687496E-03   0.108763E-02   0.185001E+03   0.000000E+00   0.000000E+00   0.185001E+03  -0.370002E+03
   0.100583E+03   0.895790E+01   0.311699E+00   0.136916E+02   0.116209E-02   0.545311E-03   0.687496E-03   0.750078E-03   0.181559E+03   0.000000E+00   0.000000E+00   0.181559E+03  -0.363118E+03
   0.995043E+02   0.534213E+01   0.311699E+00   0.639944E+01   0.116209E-02   0.542092E-03   0.687496E-03   0.750078E-03   0.182750E+03   0.000000E+00   0.000000E+00   0.182750E+03  -0.365500E+03
   0.100585E+03   0.738463E+01   0.311699E+00   0.556339E+01   0.116209E-02   0.542092E-03   0.687496E-03   0.750078E-03   0.181959E+03   0.000000E+00   0.000000E+00   0.181959E+03  -0.363918E+03
   0.994640E+02  -0.819160E+00  -0.117934E+02  -0.184160E+02   0.116209E-02   0.364607E-03   0.687496E-03   0.114908E-02   0.179016E+03   0.000000E+00   0.000000E+00   0.179016E+03  -0.358032E+03
   0.994640E+02  -0.819160E+00  -0.131417E+02  -0.184160E+02   0.116209E-02   0.364607E-03   0.687496E-03   0.114908E-02   0.178487E+03   0.000000E+00   0.000000E+00   0.178487E+03  -0.356974E+03
   0.101527E+03  -0.819160E+00  -0.104311E+02  -0.120947E+02   0.119044E-02   0.364607E-03   0.687496E-03   0.114908E-02   0.183322E+03   0.000000E+00   0.000000E+00   0.183322E+03  -0.366644E+03
